village,date,pH,turbidity,dissolved_oxygen,nitrates,coliform,rainfall,temperature,diarrhea_cases,growth_rate,contamination_score
Belpur,2023-02-16,7.33,1.4,8.59,13.27,63.8,5.0,24.8,11,0.4,19.09
Belpur,2023-02-16,6.96,1.0,9.43,39.55,97.2,17.2,23.6,12,0.522,34.12
Pimpalgaon,2023-02-16,7.36,1.0,9.5,14.07,41.9,39.2,23.2,4,0.285,9.9
Wagholi,2023-02-16,7.43,1.0,10.0,14.89,34.2,7.1,24.9,3,0.218,10.96
Chikhali,2023-02-16,7.17,1.0,10.0,7.7,34.4,4.5,20.5,3,0.253,6.84
Pimpalgaon,2023-02-16,5.59,2.84,10.0,16.98,95.1,2.6,23.8,7,0.545,29.34
Khandala,2023-02-17,7.22,2.25,8.89,17.75,66.2,30.4,21.7,12,0.491,26.79
Radhapur,2023-02-17,7.08,1.0,9.08,13.41,46.0,26.3,23.3,6,0.29,12.0
Sundarpur,2023-02-17,5.8,2.94,9.19,5.34,35.8,2.2,26.0,4,0.289,14.48
Malegaon,2023-02-17,6.62,1.0,9.94,5.54,5.1,2.0,22.4,1,0.184,1.0
Vadgaon,2023-02-17,6.99,4.22,8.42,8.06,67.2,12.4,26.3,8,0.354,26.65
Malegaon,2023-02-17,7.56,2.4,9.36,22.77,88.2,6.9,27.6,8,0.468,32.56
Umargaon,2023-02-17,6.62,1.0,9.58,16.43,58.6,54.1,25.9,5,0.353,17.79
Sundarpur,2023-02-17,7.07,4.83,6.91,10.54,114.5,30.8,27.9,7,0.537,36.42
Chandpur,2023-02-17,6.98,5.85,6.56,7.48,63.0,6.2,25.4,4,0.311,32.47
Salegaon,2023-02-18,6.84,4.45,9.59,5.61,45.3,0.8,25.9,4,0.232,22.4
Tarwada,2023-02-18,7.73,1.0,9.74,49.11,155.2,31.0,25.6,13,0.699,41.98
Wagholi,2023-02-18,6.14,4.14,6.95,10.77,55.5,16.8,22.9,4,0.309,25.59
Sonegaon,2023-02-19,6.24,7.01,7.48,11.9,129.0,9.3,25.8,8,0.625,56.2
Balkishan,2023-02-19,7.91,9.15,5.06,8.45,100.8,7.0,25.7,7,0.447,52.23
Ambegaon,2023-02-19,6.5,1.0,9.1,26.92,61.6,4.4,25.6,7,0.326,18.44
Sitapur,2023-02-19,6.75,2.17,8.08,16.04,56.7,30.6,21.2,8,0.294,24.9
Pimpalgaon,2023-02-19,6.66,6.97,4.53,5.49,71.1,1.1,24.3,4,0.326,32.74
Balkishan,2023-02-20,5.92,1.73,8.82,14.75,51.0,33.8,26.5,6,0.295,18.38
Belpur,2023-02-20,6.71,3.64,8.24,11.8,72.9,9.1,25.1,4,0.324,23.35
Ambegaon,2023-02-20,7.25,4.17,7.1,10.59,75.7,7.0,26.9,5,0.364,29.58
Belpur,2023-02-20,7.72,4.37,9.63,25.61,96.5,7.9,26.5,8,0.487,38.79
Chandpur,2023-02-20,7.17,1.0,10.0,7.9,35.6,14.6,23.2,4,0.2,8.31
Wagholi,2023-02-20,7.05,1.0,8.84,16.62,41.7,16.8,27.2,3,0.182,9.77
Vadgaon,2023-02-20,5.68,10.0,4.51,8.82,160.7,14.1,24.7,11,0.73,72.05
Sitapur,2023-02-20,7.65,2.55,8.18,24.02,77.3,3.2,25.4,6,0.42,26.57
Sundarpur,2023-02-21,6.81,1.17,9.64,9.1,21.3,2.4,25.6,3,0.199,10.74
Sundarpur,2023-02-21,6.51,6.22,7.54,16.18,156.5,34.8,23.7,12,0.726,56.98
Krishnapur,2023-02-21,6.58,2.4,7.98,6.63,40.1,6.4,24.5,3,0.205,10.03
Sitapur,2023-02-21,6.41,3.92,7.39,10.88,55.3,8.3,25.9,5,0.271,22.75
Harinagar,2023-02-21,6.97,10.0,4.56,7.16,123.3,13.8,22.9,7,0.646,52.24
Umargaon,2023-02-21,6.85,2.67,10.0,6.54,54.8,7.1,23.8,8,0.361,22.44
Ranjangaon,2023-02-21,6.41,1.33,8.69,42.98,133.9,4.1,25.1,10,0.63,45.33
Karanjgaon,2023-02-22,7.27,1.0,7.51,10.8,71.2,32.1,24.3,5,0.347,20.09
Tarwada,2023-02-22,7.28,3.85,6.71,17.59,85.7,25.4,26.5,11,0.473,31.54
Radhapur,2023-02-22,6.97,3.51,8.87,13.34,185.0,15.0,26.6,11,0.798,50.07
Vadgaon,2023-02-22,7.09,4.06,9.7,14.91,64.9,7.7,24.8,5,0.359,30.58
Deulgaon,2023-02-22,6.78,1.0,8.86,12.18,45.1,3.8,22.0,8,0.32,11.46
Madhavpur,2023-02-22,8.39,7.61,5.12,11.66,99.1,2.4,24.1,6,0.571,44.71
Rampur,2023-02-22,7.97,2.24,9.44,6.13,24.6,3.5,25.7,2,0.247,11.47
Shivgarh,2023-02-22,7.02,2.58,9.55,7.0,34.7,0.5,24.5,5,0.232,15.77
Jawahar Nagar,2023-02-22,8.11,1.0,9.23,9.49,62.7,4.1,23.9,5,0.384,15.35
Karanjgaon,2023-02-23,5.5,1.0,10.0,16.76,112.9,78.2,24.9,12,0.558,25.27
Khandala,2023-02-23,6.66,1.59,10.0,16.34,76.6,32.1,24.8,6,0.334,15.8
Dhamangaon,2023-02-23,7.49,1.0,10.0,11.89,23.3,2.9,24.3,4,0.164,7.47
Sundarpur,2023-02-23,7.48,4.73,8.74,11.28,78.1,25.9,20.5,8,0.386,29.38
Radhapur,2023-02-24,7.25,2.7,8.65,6.1,25.5,1.3,26.6,4,0.214,14.67
Harinagar,2023-02-24,7.16,1.0,9.82,8.78,63.7,2.1,28.0,7,0.309,11.63
Madhavpur,2023-02-24,6.07,1.0,9.24,8.69,25.5,9.9,26.3,2,0.121,10.56
Tulsipur,2023-02-24,7.65,2.87,8.28,15.18,74.5,0.8,27.5,5,0.391,24.8
Bhimnagar,2023-02-24,7.24,1.0,8.69,37.86,99.0,17.7,27.1,8,0.538,31.76
Madhavpur,2023-02-24,6.84,1.4,8.66,9.71,37.5,0.3,24.7,5,0.275,9.59
Ranjangaon,2023-02-25,6.57,1.0,8.99,6.67,20.1,5.6,25.7,2,0.14,4.4
Bhavanipur,2023-02-25,6.62,1.0,9.1,8.69,59.3,0.6,26.9,5,0.374,13.09
Harinagar,2023-02-25,6.43,3.08,8.58,12.95,101.9,28.1,26.3,11,0.591,29.78
Devgaon,2023-02-25,5.75,3.61,9.2,8.29,45.9,4.0,24.5,5,0.225,18.3
Harinagar,2023-02-25,7.01,1.0,8.95,21.54,70.0,33.6,25.4,9,0.392,17.79
Tarwada,2023-02-25,6.1,2.1,9.8,12.87,62.4,12.8,23.6,4,0.33,20.33
Laxmipur,2023-02-25,7.62,2.52,8.65,7.8,27.5,6.2,25.9,2,0.199,15.51
Balkishan,2023-02-25,6.85,1.26,8.9,10.32,45.3,33.4,26.3,7,0.355,12.03
Gopalnagar,2023-02-26,6.44,1.0,8.17,11.09,37.0,19.1,23.7,4,0.23,11.36
Madhavpur,2023-02-26,6.53,2.88,8.41,10.78,72.6,33.2,25.6,9,0.414,26.45
Ranjangaon,2023-02-26,6.52,1.0,9.53,7.64,16.9,6.8,26.1,1,0.153,0.54
Shivgarh,2023-02-26,6.29,2.81,8.71,14.45,60.2,39.3,24.1,4,0.26,18.05
Salegaon,2023-02-26,7.56,7.97,4.82,14.48,185.7,8.8,22.8,15,0.875,67.67
Belpur,2023-02-27,7.14,2.51,8.15,17.87,84.1,28.6,26.4,6,0.372,23.78
Jawahar Nagar,2023-02-27,6.79,10.0,5.43,9.71,139.5,29.5,24.4,12,0.732,66.25
Tarwada,2023-02-27,8.37,1.0,9.13,13.17,35.6,12.4,23.5,10,0.338,9.92
Chandpur,2023-02-27,6.83,1.22,9.09,14.42,50.6,8.2,23.0,5,0.377,20.5
Deulgaon,2023-02-28,7.11,1.0,9.55,6.55,19.0,0.4,23.1,3,0.112,4.66
Tulsipur,2023-02-28,7.07,2.76,9.04,15.1,57.8,2.4,26.3,6,0.314,20.68
Belpur,2023-02-28,6.37,2.08,8.98,5.63,24.6,0.3,23.1,2,0.148,8.14
Radhapur,2023-02-28,8.1,3.0,8.52,11.18,84.4,30.8,24.1,8,0.465,31.82
Ranjangaon,2023-02-28,6.44,1.0,9.67,30.21,88.9,31.8,25.7,8,0.476,22.15
Madhavpur,2023-02-28,6.87,3.19,8.4,13.62,55.8,9.5,25.3,5,0.282,20.57
Deulgaon,2023-02-28,7.19,5.65,7.4,6.76,79.4,1.1,24.0,5,0.362,27.12
Umargaon,2023-02-28,6.72,2.96,8.95,15.38,66.8,22.0,22.1,6,0.386,20.77
Jawahar Nagar,2023-02-28,6.94,1.77,10.0,17.38,59.6,0.3,24.6,5,0.277,19.31
Ranjangaon,2023-02-28,6.61,1.0,9.92,5.85,27.5,2.4,24.6,3,0.181,5.07
Sitapur,2023-02-28,7.07,1.78,10.0,8.85,47.4,17.6,24.5,4,0.272,15.4
Khandala,2023-02-28,6.41,1.63,9.82,48.79,126.3,16.1,23.7,11,0.611,47.48
Chandpur,2023-02-28,6.34,1.0,9.57,8.57,24.3,15.8,24.4,3,0.183,5.02
Ranjangaon,2023-02-28,7.12,1.47,8.4,10.04,63.5,15.8,25.5,4,0.278,11.69
Gopalnagar,2023-03-01,6.56,1.0,9.01,12.55,40.9,16.4,28.0,4,0.201,5.93
Tarwada,2023-03-01,6.78,1.07,8.95,46.7,117.4,7.2,28.9,10,0.637,33.4
Chandpur,2023-03-01,7.58,6.58,5.73,9.68,73.7,2.8,27.5,4,0.311,37.56
Krishnapur,2023-03-01,7.05,1.0,10.0,6.81,15.4,3.8,26.6,1,0.081,0.67
Pimpalgaon,2023-03-01,6.69,6.36,5.72,7.71,88.3,1.0,32.1,5,0.364,39.59
Khandala,2023-03-01,6.46,3.56,8.31,13.43,76.2,21.6,27.6,6,0.329,27.41
Dhamangaon,2023-03-02,7.0,4.17,8.41,12.38,67.5,6.2,27.4,11,0.503,27.07
Bhavanipur,2023-03-02,8.16,8.37,6.78,7.77,108.7,18.0,29.8,9,0.548,46.8
Khandala,2023-03-02,7.82,1.0,10.0,11.79,38.5,34.3,27.5,4,0.269,13.35
Karanjgaon,2023-03-03,8.28,4.38,7.96,11.85,103.0,32.2,28.3,12,0.502,32.6
Tarwada,2023-03-03,7.82,1.0,9.15,13.15,49.9,7.9,30.3,4,0.222,14.61
Sonegaon,2023-03-03,6.68,1.3,9.31,6.82,12.6,1.4,29.3,1,0.068,2.8
Nandgaon,2023-03-03,6.66,4.08,7.9,12.88,55.4,1.5,29.1,4,0.31,23.37
Salegaon,2023-03-03,7.09,2.87,7.77,9.43,48.8,1.4,30.1,6,0.355,15.2
Balkishan,2023-03-03,6.66,1.04,9.83,36.55,114.4,1.7,27.1,10,0.54,26.91
Radhapur,2023-03-04,7.01,1.0,10.0,47.14,119.1,11.6,31.0,13,0.625,39.29
Dhamangaon,2023-03-04,7.16,3.31,8.11,8.8,54.6,7.1,26.4,3,0.289,21.44
Salegaon,2023-03-04,6.18,1.0,10.0,26.0,73.9,1.4,28.3,7,0.337,24.79
Rampur,2023-03-04,7.14,1.0,8.96,18.59,43.0,9.8,26.5,5,0.263,10.8
Nandgaon,2023-03-04,6.75,5.49,7.17,8.85,62.9,2.9,31.3,4,0.268,29.72
Krishnapur,2023-03-04,7.05,2.52,8.45,42.35,168.9,26.3,28.6,15,0.829,55.74
Morwada,2023-03-05,6.57,2.77,6.87,49.96,149.1,10.7,29.1,12,0.661,51.21
Tarwada,2023-03-05,7.77,7.06,6.36,18.57,106.8,22.4,28.6,11,0.572,55.3
Khandala,2023-03-05,7.1,1.0,8.93,16.52,50.3,5.4,27.5,4,0.218,12.41
Ranjangaon,2023-03-05,6.36,1.0,9.06,17.66,53.2,10.5,30.9,4,0.233,14.9
Devgaon,2023-03-05,6.71,1.0,10.0,7.88,50.8,9.0,25.6,7,0.259,10.5
Rampur,2023-03-05,6.87,3.56,7.28,18.96,81.0,12.3,28.0,7,0.396,30.68
Malegaon,2023-03-06,6.46,10.0,4.52,16.73,184.4,7.3,30.4,14,0.791,82.02
Belpur,2023-03-06,7.27,1.42,8.84,7.03,29.6,12.1,28.3,3,0.206,6.15
Vadgaon,2023-03-06,6.99,1.52,10.0,14.33,54.6,28.4,26.7,5,0.29,18.31
Deulgaon,2023-03-06,6.99,6.57,6.41,10.85,89.7,14.0,29.6,6,0.411,39.06
Chikhali,2023-03-06,6.52,1.0,10.0,9.3,196.9,21.1,26.1,12,0.821,44.62
Karanjgaon,2023-03-06,6.59,9.51,6.98,13.29,132.8,43.4,29.2,11,0.636,63.26
Khandala,2023-03-06,6.51,1.65,9.61,13.24,40.0,4.6,27.0,6,0.3,20.02
Radhapur,2023-03-06,6.8,1.0,8.01,14.46,45.6,44.7,28.6,5,0.264,11.75
Dhamangaon,2023-03-06,6.85,2.61,8.47,8.52,39.3,0.4,25.9,3,0.2,15.24
Bhimnagar,2023-03-07,6.69,2.9,8.7,7.75,50.3,7.7,28.9,4,0.392,16.3
Ranjangaon,2023-03-07,5.87,1.0,9.44,20.92,76.4,78.5,26.7,7,0.361,20.89
Sundarpur,2023-03-07,6.5,2.8,8.94,8.15,34.5,13.1,25.2,3,0.202,10.61
Malegaon,2023-03-07,6.98,1.0,9.99,9.89,40.7,24.4,26.7,6,0.326,8.19
Sitapur,2023-03-07,6.55,2.38,7.33,14.2,87.7,6.6,28.5,7,0.417,23.15
Bhavanipur,2023-03-08,7.09,2.3,9.3,23.14,101.4,10.6,29.5,8,0.442,27.66
Karanjgaon,2023-03-08,7.78,1.0,8.86,17.54,61.3,49.0,27.3,8,0.389,18.62
Bhimnagar,2023-03-08,6.76,1.0,9.25,15.97,33.6,5.4,26.9,3,0.236,7.8
Gopalnagar,2023-03-08,6.31,1.99,8.93,22.27,69.2,6.2,26.9,5,0.314,22.15
Shivgarh,2023-03-08,8.45,1.0,9.97,11.63,22.3,3.7,26.1,2,0.218,11.6
Vadgaon,2023-03-09,7.51,1.0,8.92,6.03,59.7,5.6,30.4,8,0.334,14.89
Rampur,2023-03-09,6.93,1.91,9.8,12.26,46.8,17.8,25.7,5,0.244,11.22
Bhavanipur,2023-03-09,6.73,2.25,10.0,18.07,167.5,35.5,28.7,13,0.782,41.77
Deulgaon,2023-03-09,5.9,5.24,6.44,9.26,58.2,5.7,25.5,8,0.381,27.97
Tarwada,2023-03-09,6.66,2.07,9.91,6.65,37.6,7.9,27.4,5,0.214,7.44
Umargaon,2023-03-09,7.06,5.25,5.19,11.84,70.6,15.4,28.6,5,0.34,37.49
Jawahar Nagar,2023-03-09,6.61,1.0,9.92,10.23,22.5,13.6,25.4,3,0.127,7.55
Malegaon,2023-03-09,6.52,1.0,10.0,5.6,5.5,0.8,28.2,3,0.07,0.0
Devgaon,2023-03-10,7.14,1.0,9.27,7.87,25.5,2.0,26.7,3,0.145,9.87
Vadgaon,2023-03-10,6.67,3.71,9.61,48.46,145.2,5.9,31.7,11,0.732,51.04
Harinagar,2023-03-10,7.0,1.0,10.0,8.47,22.7,8.9,27.4,4,0.205,8.15
Shivgarh,2023-03-11,6.88,1.0,9.88,12.33,35.6,28.0,26.7,6,0.213,12.17
Madhavpur,2023-03-11,6.94,7.08,6.31,26.68,140.1,0.2,27.4,13,0.788,57.87
Malegaon,2023-03-11,6.99,1.15,10.0,10.27,21.0,1.7,28.8,5,0.237,6.64
Sitapur,2023-03-11,5.62,1.0,8.93,7.82,22.0,2.8,27.7,5,0.201,13.82
Salegaon,2023-03-12,6.98,1.0,9.87,8.25,14.9,7.0,26.2,2,0.189,3.77
Ambegaon,2023-03-12,7.18,1.0,9.49,21.62,62.0,13.3,30.7,4,0.31,14.83
Sitapur,2023-03-12,8.37,1.0,10.0,6.99,11.4,0.9,29.2,3,0.148,8.43
Wagholi,2023-03-12,6.89,1.0,7.87,12.44,98.9,44.2,29.4,12,0.617,22.74
Gopalnagar,2023-03-12,6.93,1.0,10.0,6.02,18.0,0.4,30.4,2,0.088,2.18
Karanjgaon,2023-03-12,6.65,2.58,7.58,18.38,103.4,38.2,26.8,11,0.61,32.42
Rampur,2023-03-12,5.66,2.01,8.52,12.66,39.7,13.7,30.7,5,0.275,15.02
Sundarpur,2023-03-12,6.74,1.0,8.17,9.9,38.6,14.0,27.2,3,0.256,12.33
Khandala,2023-03-13,7.69,1.0,9.43,5.31,29.5,0.9,30.2,2,0.125,10.56
Wagholi,2023-03-13,7.55,1.21,9.28,11.51,39.5,18.5,31.1,6,0.411,11.1
Pimpalgaon,2023-03-13,7.47,1.0,9.36,10.64,23.6,9.2,25.8,1,0.092,9.49
Jawahar Nagar,2023-03-13,7.0,3.17,8.94,12.57,64.2,1.6,25.1,7,0.302,24.68
Madhavpur,2023-03-13,5.67,6.33,6.01,10.31,77.0,10.5,25.6,7,0.347,39.4
Devgaon,2023-03-14,7.36,1.0,10.0,8.91,36.1,25.0,29.3,4,0.215,8.09
Ranjangaon,2023-03-14,7.47,3.15,10.0,10.2,63.0,24.8,27.1,9,0.347,19.43
Sonegaon,2023-03-14,7.1,1.0,8.72,6.84,38.5,0.3,28.2,2,0.307,7.7
Gopalnagar,2023-03-14,6.16,1.0,10.0,6.19,43.6,3.9,29.0,3,0.266,6.49
Umargaon,2023-03-15,7.51,1.84,10.0,20.99,62.7,3.9,26.9,6,0.321,24.54
Sundarpur,2023-03-15,6.81,3.83,7.8,11.79,72.0,23.7,28.1,6,0.367,26.77
Bhavanipur,2023-03-15,6.93,5.58,6.54,15.65,133.2,30.1,25.3,10,0.683,48.77
Jawahar Nagar,2023-03-15,6.95,2.8,9.59,7.27,34.6,1.4,28.3,2,0.223,14.14
Harinagar,2023-03-15,6.88,2.11,9.7,6.73,71.4,10.2,25.7,6,0.412,19.15
Rampur,2023-03-15,6.81,1.0,9.46,10.94,28.0,23.8,29.2,4,0.237,11.21
Ranjangaon,2023-03-16,7.28,1.12,10.0,39.02,93.9,12.8,26.3,12,0.519,30.6
Khandala,2023-03-16,7.71,2.74,8.98,8.87,73.7,23.9,30.5,9,0.456,21.79
Radhapur,2023-03-16,6.51,7.21,4.62,16.67,133.2,33.7,27.3,10,0.645,54.07
Bhimnagar,2023-03-16,7.39,1.0,9.75,12.33,80.8,35.5,26.6,6,0.486,17.1
Krishnapur,2023-03-16,6.62,1.0,9.85,5.56,13.1,0.7,27.7,4,0.166,3.71
Tulsipur,2023-03-17,7.09,4.13,10.0,21.74,94.3,11.6,24.2,8,0.479,35.2
Umargaon,2023-03-17,7.32,4.1,6.04,40.12,149.4,33.8,27.3,13,0.713,53.08
Deulgaon,2023-03-17,5.89,1.0,9.34,8.76,33.5,22.5,27.5,5,0.208,5.16
Morwada,2023-03-17,5.83,1.3,8.41,19.79,93.2,27.7,29.7,7,0.526,25.92
Gopalnagar,2023-03-17,7.02,3.98,7.49,8.17,53.6,8.7,26.0,5,0.4,20.34
Krishnapur,2023-03-17,7.84,10.0,6.01,13.51,174.9,5.2,27.2,14,0.813,74.29
Sundarpur,2023-03-17,6.01,1.95,8.36,6.08,61.4,4.4,27.9,8,0.454,15.67
Harinagar,2023-03-18,6.09,1.0,9.13,8.91,23.2,14.0,27.1,4,0.136,9.58
Sundarpur,2023-03-18,7.08,1.6,8.14,13.15,53.2,40.7,26.2,4,0.279,15.94
Sundarpur,2023-03-18,7.65,4.65,8.08,9.11,86.7,11.2,29.7,7,0.401,31.11
Laxmipur,2023-03-18,6.58,1.0,8.51,8.86,38.5,22.1,26.2,6,0.379,6.82
Khandala,2023-03-18,7.38,1.0,10.0,8.13,42.8,14.5,28.2,4,0.215,9.92
Karanjgaon,2023-03-18,6.62,2.85,8.85,6.91,33.9,7.0,26.7,4,0.171,13.47
Tarwada,2023-03-19,7.02,2.33,8.82,7.32,30.1,8.0,29.3,5,0.269,11.52
Krishnapur,2023-03-19,7.18,8.76,5.36,7.28,125.0,2.6,28.0,8,0.578,57.01
Sundarpur,2023-03-19,6.11,1.0,9.0,13.87,38.7,6.8,27.6,5,0.218,15.76
Balkishan,2023-03-19,6.85,4.01,8.36,8.3,69.7,8.8,29.0,4,0.375,20.46
Salegaon,2023-03-19,6.91,3.75,8.47,17.38,74.5,4.3,29.2,9,0.411,30.75
Tulsipur,2023-03-20,7.51,1.0,8.55,7.72,43.7,6.5,27.0,3,0.309,9.78
Belpur,2023-03-20,7.67,10.0,5.79,12.12,145.6,35.2,27.3,9,0.627,68.64
Madhavpur,2023-03-20,6.39,4.06,8.89,23.1,178.4,9.9,25.5,11,0.754,53.27
Harinagar,2023-03-20,7.24,1.0,10.0,13.51,54.1,12.4,28.4,3,0.276,14.91
Morwada,2023-03-20,6.85,3.44,8.1,9.54,76.1,22.4,29.4,9,0.432,27.44
Gopalnagar,2023-03-20,6.54,1.0,7.13,12.26,28.8,8.2,26.9,4,0.37,9.45
Jawahar Nagar,2023-03-20,6.67,5.3,7.85,14.44,79.5,6.7,27.5,6,0.477,30.65
Devgaon,2023-03-20,7.04,3.14,7.54,8.41,43.3,15.5,29.2,4,0.328,19.08
Radhapur,2023-03-20,6.61,2.36,8.91,11.35,58.3,18.9,26.5,7,0.413,16.27
Rampur,2023-03-20,7.45,2.11,9.46,7.88,187.7,13.0,26.5,14,0.783,42.47
Bhavanipur,2023-03-21,7.11,2.8,7.37,5.3,25.1,0.8,30.0,1,0.191,10.41
Krishnapur,2023-03-21,6.05,7.98,4.59,17.25,109.8,6.7,29.2,8,0.5,55.92
Ranjangaon,2023-03-21,7.17,1.16,8.64,11.9,39.8,28.0,30.6,7,0.263,8.58
Khandala,2023-03-21,7.83,1.0,8.64,20.39,48.0,4.3,31.2,5,0.248,14.9
Malegaon,2023-03-21,6.1,1.49,9.01,19.27,72.3,30.1,26.8,5,0.411,18.43
Chandpur,2023-03-21,7.06,1.0,8.45,40.24,109.8,31.4,28.9,10,0.561,38.17
Harinagar,2023-03-21,7.4,3.36,9.36,10.27,54.9,22.9,28.4,8,0.313,25.1
Tulsipur,2023-03-21,7.45,4.62,9.03,28.75,112.9,7.2,26.6,11,0.683,46.78
Sitapur,2023-03-21,5.85,1.4,10.0,12.23,30.2,2.0,28.4,3,0.23,7.43
Salegaon,2023-03-22,6.41,1.0,9.04,12.0,51.6,15.7,29.4,3,0.26,12.74
Devgaon,2023-03-22,7.33,2.96,9.59,12.34,79.6,7.9,28.8,8,0.422,25.64
Madhavpur,2023-03-22,6.45,1.43,9.81,14.07,42.9,13.5,28.5,5,0.271,12.63
Tarwada,2023-03-22,8.37,1.23,9.65,7.35,29.4,0.4,29.6,2,0.303,10.62
Harinagar,2023-03-22,7.93,1.02,10.0,14.52,28.4,3.2,27.0,4,0.256,9.15
Radhapur,2023-03-22,6.6,7.33,5.55,35.2,200.0,99.6,29.6,20,0.929,79.0
Morwada,2023-03-22,5.96,4.32,7.15,9.83,100.5,11.0,29.0,7,0.535,36.39
Sonegaon,2023-03-22,7.48,1.23,10.0,15.09,168.9,61.4,28.7,14,0.821,41.52
Karanjgaon,2023-03-23,6.61,1.98,10.0,19.77,108.0,71.3,27.8,10,0.507,34.1
Ranjangaon,2023-03-23,6.85,1.0,10.0,13.67,51.3,55.5,26.8,8,0.368,11.67
Rampur,2023-03-23,6.39,4.84,7.08,7.19,93.6,8.8,27.6,6,0.463,32.6
Vadgaon,2023-03-23,6.89,10.0,4.67,37.52,193.9,11.7,25.8,14,0.798,88.18
Wagholi,2023-03-23,7.12,1.84,9.04,16.84,106.3,44.7,28.4,10,0.556,28.0
Karanjgaon,2023-03-23,6.74,1.0,8.71,9.82,28.4,8.9,28.0,3,0.26,5.0
Chikhali,2023-03-23,6.59,1.0,9.99,8.54,151.2,11.3,27.2,10,0.661,28.75
Ambegaon,2023-03-24,7.47,1.0,9.51,14.58,50.1,22.3,24.1,4,0.239,13.8
Chikhali,2023-03-24,7.03,1.0,9.9,13.53,27.2,4.5,27.8,4,0.148,10.69
Belpur,2023-03-24,7.22,3.54,8.34,9.22,63.8,10.5,27.5,5,0.361,26.89
Tarwada,2023-03-24,6.45,1.0,10.0,7.73,28.1,10.6,25.8,3,0.238,8.89
Malegaon,2023-03-24,6.91,2.75,8.1,6.57,50.9,4.9,26.7,5,0.283,23.43
Vadgaon,2023-03-25,7.12,3.28,8.44,31.12,97.1,8.9,28.9,9,0.524,37.76
Gopalnagar,2023-03-25,7.31,1.0,9.89,17.37,73.3,70.2,31.1,10,0.432,21.82
Chandpur,2023-03-25,6.95,5.79,7.6,10.82,83.7,10.3,29.7,6,0.489,36.95
Rampur,2023-03-25,6.3,9.46,5.77,18.96,161.2,87.1,28.3,13,0.816,77.54
Morwada,2023-03-25,6.96,4.6,7.34,5.68,60.9,3.1,25.7,8,0.381,26.95
Bhimnagar,2023-03-26,6.64,1.0,9.03,16.41,47.7,15.0,27.4,6,0.251,17.08
Deulgaon,2023-03-26,6.75,1.0,9.06,19.17,44.0,5.8,26.5,5,0.237,18.99
Jawahar Nagar,2023-03-26,5.63,1.0,9.34,6.25,9.3,1.2,28.7,2,0.07,3.54
Harinagar,2023-03-26,7.42,1.0,9.93,8.32,36.7,3.3,28.1,3,0.173,3.63
Devgaon,2023-03-26,6.97,6.57,6.46,6.58,65.1,4.4,29.1,7,0.457,33.35
Ranjangaon,2023-03-26,5.77,1.62,10.0,9.48,28.4,2.6,29.5,3,0.222,10.88
Ranjangaon,2023-03-27,6.61,1.0,9.37,13.84,92.1,12.9,28.9,9,0.453,23.12
Sundarpur,2023-03-27,7.26,4.4,7.77,18.67,87.8,13.2,29.0,7,0.422,34.78
Morwada,2023-03-27,7.89,1.0,8.95,17.42,39.0,6.2,30.3,4,0.251,9.49
Gopalnagar,2023-03-27,6.92,1.0,10.0,5.93,6.5,3.7,26.0,3,0.118,4.57
Tulsipur,2023-03-28,6.89,4.47,9.31,7.7,50.5,8.3,27.8,7,0.311,23.91
Salegaon,2023-03-28,8.22,5.53,7.14,12.84,125.5,11.5,27.1,14,0.653,46.76
Belpur,2023-03-29,7.06,1.02,9.65,5.96,8.1,1.5,28.1,1,0.088,0.72
Rampur,2023-03-29,7.94,1.04,10.0,10.84,29.0,7.9,31.3,3,0.203,6.75
Salegaon,2023-03-29,6.58,5.24,7.67,12.61,69.1,5.6,28.4,6,0.445,31.9
Ambegaon,2023-03-30,8.35,4.05,9.32,9.24,60.0,18.6,26.5,6,0.324,29.27
Deulgaon,2023-03-30,7.4,10.0,4.63,9.42,128.8,9.9,28.0,11,0.608,67.21
Malegaon,2023-03-30,5.82,5.1,7.58,10.2,63.4,8.6,28.1,8,0.333,32.85
Sitapur,2023-03-31,6.88,1.0,10.0,8.77,16.1,0.7,31.0,1,0.137,3.02
Wagholi,2023-03-31,7.06,1.0,9.19,8.59,29.3,5.7,26.4,4,0.203,6.03
Nandgaon,2023-03-31,6.82,1.0,8.16,10.47,194.7,7.6,27.0,14,0.945,39.67
Tarwada,2023-03-31,6.61,1.0,10.0,10.45,71.6,34.0,26.4,7,0.376,14.83
Deulgaon,2023-03-31,6.6,7.23,6.92,20.97,150.2,89.0,27.2,11,0.737,58.88
Harinagar,2023-03-31,7.2,1.0,9.43,20.1,42.8,0.8,28.4,5,0.223,14.47
Sitapur,2023-03-31,6.29,1.87,10.0,7.06,40.3,3.3,28.5,3,0.211,15.24
Sonegaon,2023-03-31,6.83,6.15,6.48,8.15,84.5,11.1,29.0,5,0.371,36.14
Shivgarh,2023-04-01,7.88,4.98,6.97,6.89,83.2,2.9,33.0,7,0.525,33.79
Tulsipur,2023-04-01,6.75,8.94,6.77,46.07,191.3,7.2,32.0,15,0.814,86.84
Vadgaon,2023-04-01,7.04,1.0,10.0,11.5,29.0,11.5,32.5,4,0.183,6.48
Wagholi,2023-04-01,7.16,1.1,10.0,7.35,14.0,7.8,30.6,1,0.241,5.35
